Tgl,Nama_Obat,Golongan,Pabrik,No_Batch,Dengan_Resep,Tgl_ED,Promo,Obat_Masuk,Obat_Keluar,Harga,Stok_Obat
21/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,15,5000,18
21/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,30,20000,51
23/01/2021,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,-,30,50000,180
24/01/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,20,85000,111
25/01/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,10,5000,8
25/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,30,20000,21
26/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,140,20000,81
27/01/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,200,19,35000,367
27/01/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,35,85000,106
28/01/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,10,35000,357
28/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,80,20000,61
29/01/2021,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,66,5000,180
29/01/2021,KALNEX,Obat Bebas Terbatas,Kalbe,,Ya,,Tidak ada,-,11,50000,20
31/01/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,30,20000,31
31/01/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,70,85000,36
02/02/2021,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,20,5000,160
03/02/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,100,20,20000,111
04/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,60,-,5000,60
04/02/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,-,20000,110
05/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,60,70,5000,80
05/02/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,19,20000,91
05/02/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,250,20,85000,246
06/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,70,5000,70
07/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,30,5000,40
08/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,60,10,5000,60
08/02/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,5,85000,251
09/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,5,35000,307
09/02/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,30,20000,61
10/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,30,-,5000,90
10/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,20,35000,287
10/02/2021,BUSCOPAN,Obat Keras,Sanofi,,Ya,,Tidak ada,30,-,50000,210
11/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,20,35000,267
11/02/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,41,85000,210
12/02/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,20,20000,41
13/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,,5000,123
13/02/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,-,85000,460
16/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,25,35000,242
16/02/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,-,20,20000,25
16/02/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,20,85000,440
17/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,100,10,35000,332
17/02/2021,MEFINAL,Obat Keras,Sanbe,,Ya,,Tidak ada,100,-,20000,140
18/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,8,5000,118
18/02/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,120,85000,320
20/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,29,5000,91
20/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,27,35000,305
21/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,12,35000,293
21/02/2021,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,20,5000,140
22/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,30,5000,61
23/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,12,35000,281
23/02/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,105,85000,215
25/02/2021,OMEPRAZOLE,Obat Bebas,Novel ,,Ya,,Tidak ada,-,30,5000,31
25/02/2021,LAPIBAL,Obat Keras,Lapi,,Ya,,Tidak ada,-,10,35000,271
28/02/2021,AMBROXOL ,Obat Bebas,Phapros,,Tidak,,Tidak ada,-,20,5000,120
02/03/2021,AMLODIPIN,Obat Keras,Lapi,,Ya,,Tidak ada,-,35,85000,180
